	player	hardWin	clayWin	grassWin	hardLose	clayLose	grassLose
870	Awadhy O.	0.5	0.5	0.5	0.5	0.5	0.5
871	Salamanca C.	0.5	0.5	0.5	0.5	0.5	0.5
872	Lojda D.	0.5	0.5	0.5	0.5	0.5	0.5
873	Barrientos N.	0.5	0.5	0.5	0.5	0.5	0.5
874	Charpentier M.	0.5	0.5	0.5	0.5	0.5	0.5
875	Del Potro J.M.	0.9947089947089947	0.9787234042553191	0.9666666666666667	0.005291005291005291	0.02127659574468085	0.03333333333333333
876	Medvedev D.	0.8	0.6666666666666666	0.6666666666666666	0.2	0.3333333333333333	0.3333333333333333
877	Lu Y.H.	0.9894736842105263	0.8571428571428571	0.9642857142857143	0.010526315789473684	0.14285714285714285	0.03571428571428571
878	Vassallo-Arguello M.	0.6666666666666666	0.96875	0.6666666666666666	0.3333333333333333	0.03125	0.3333333333333333
879	Corrie E.	0.5	0.5	0.5	0.5	0.5	0.5
880	Grigelis L.	0.5	0.5	0.5	0.5	0.5	0.5
881	Syed F.	0.5	0.5	0.5	0.5	0.5	0.5
882	Muller G.	0.9907407407407407	0.9473684210526315	0.967741935483871	0.009259259259259259	0.05263157894736842	0.03225806451612903
883	Lisnard J.	0.75	0.875	0.5	0.25	0.125	0.5
884	Yim R.	0.5	0.5	0.5	0.5	0.5	0.5
885	Draper S.	0.9375	0.5	0.8	0.0625	0.5	0.2
886	Gigounon G.	0.5	0.5	0.5	0.5	0.5	0.5
887	Hajek J.	0.8888888888888888	0.95	0.5	0.1111111111111111	0.05	0.5
888	Gonzalez F.	0.9921875	0.9918032786885246	0.9545454545454546	0.0078125	0.00819672131147541	0.045454545454545456
889	Huet S.	0.5	0.5	0.6666666666666666	0.5	0.5	0.3333333333333333
890	Gombos N.	0.5	0.5	0.5	0.5	0.5	0.5
891	Xu J.C.	0.5	0.5	0.5	0.5	0.5	0.5
892	Saoudi S.	0.5	0.75	0.5	0.5	0.25	0.5
893	Gambill J. M.	0.75	0.5	0.5	0.25	0.5	0.5
894	Bogdanovic A.	0.6666666666666666	0.5	0.9	0.3333333333333333	0.5	0.1
895	Gonzalez S.	0.5	0.6666666666666666	0.5	0.5	0.3333333333333333	0.5
896	Dent T.	0.9896907216494846	0.8	0.9666666666666667	0.010309278350515464	0.2	0.03333333333333333
897	Cook L.	0.5	0.5	0.5	0.5	0.5	0.5
898	Trusendi W.	0.5	0.5	0.5	0.5	0.5	0.5
899	Moodie W.	0.9722222222222222	0.6666666666666666	0.9090909090909091	0.027777777777777776	0.3333333333333333	0.09090909090909091
900	Rios F.	0.5	0.5	0.5	0.5	0.5	0.5
901	Ito T.	0.9444444444444444	0.8	0.9	0.05555555555555555	0.2	0.1
902	Garcia A.	0.75	0.8571428571428571	0.5	0.25	0.14285714285714285	0.5
903	Strode B.	0.5	0.5	0.5	0.5	0.5	0.5
904	Chvojka E.	0.5	0.5	0.5	0.5	0.5	0.5
905	Zeng S.X.	0.5	0.5	0.5	0.5	0.5	0.5
906	Mmoh M.	0.5	0.5	0.5	0.5	0.5	0.5
907	Stoppini A.	0.8	0.5	0.5	0.2	0.5	0.5
908	Van der Dium A.	0.5	0.5	0.5	0.5	0.5	0.5
909	Ledovskikh M.	0.75	0.5	0.6666666666666666	0.25	0.5	0.3333333333333333
910	Deen Heshaam A.	0.5	0.5	0.5	0.5	0.5	0.5
911	Nader M.	0.5	0.5	0.5	0.5	0.5	0.5
912	Wu D.	0.75	0.5	0.5	0.25	0.5	0.5
